0.000000000000000e+000,0.000000e+000
1.000000000000000e-002,9.110371e-014
2.000000000000000e-002,1.641459e-013
3.000000000000000e-002,2.198594e-013
4.000000000000000e-002,2.588584e-013
5.000000000000000e-002,2.827285e-013
6.000000000000001e-002,3.032432e-013
7.000000000000001e-002,3.236091e-013
8.000000000000000e-002,3.438737e-013
9.000000000000000e-002,3.640696e-013
9.999999999999999e-002,3.842187e-013
1.100000000000000e-001,4.043360e-013
1.200000000000000e-001,4.244317e-013
1.300000000000000e-001,4.445126e-013
1.400000000000000e-001,4.645836e-013
1.500000000000000e-001,4.846476e-013
1.600000000000000e-001,5.047070e-013
1.700000000000000e-001,5.247632e-013
1.800000000000000e-001,5.448171e-013
1.900000000000000e-001,5.648695e-013
2.000000000000000e-001,5.849208e-013
2.100000000000001e-001,6.049714e-013
2.200000000000001e-001,6.250214e-013
2.300000000000001e-001,6.450710e-013
2.400000000000001e-001,6.651203e-013
2.500000000000001e-001,6.851694e-013
2.600000000000001e-001,7.052183e-013
2.700000000000001e-001,7.252670e-013
2.800000000000001e-001,7.453155e-013
2.900000000000001e-001,7.653640e-013
3.000000000000001e-001,7.854124e-013
3.100000000000001e-001,8.054606e-013
3.200000000000001e-001,8.255087e-013
3.300000000000001e-001,8.455568e-013
3.400000000000001e-001,8.656047e-013
3.500000000000001e-001,8.856526e-013
3.600000000000002e-001,9.057003e-013
3.700000000000002e-001,9.257480e-013
3.800000000000002e-001,9.457956e-013
3.900000000000002e-001,9.658431e-013
4.000000000000002e-001,9.858905e-013
4.100000000000002e-001,1.005938e-012
4.200000000000002e-001,1.025985e-012
4.300000000000002e-001,1.046032e-012
4.400000000000002e-001,1.066079e-012
4.500000000000002e-001,1.086126e-012
4.600000000000002e-001,1.106173e-012
4.700000000000003e-001,1.126220e-012
4.800000000000003e-001,1.146267e-012
4.900000000000003e-001,1.166313e-012
5.000000000000002e-001,1.186360e-012
5.100000000000002e-001,1.206407e-012
5.200000000000002e-001,1.226453e-012
5.300000000000003e-001,1.246499e-012
5.400000000000003e-001,1.266546e-012
5.500000000000003e-001,1.286592e-012
5.600000000000003e-001,1.306638e-012
5.700000000000003e-001,1.326684e-012
5.800000000000003e-001,1.346730e-012
5.900000000000003e-001,1.366776e-012
6.000000000000003e-001,1.386822e-012
6.100000000000003e-001,1.406867e-012
6.200000000000003e-001,1.426913e-012
6.300000000000003e-001,1.446959e-012
6.400000000000004e-001,1.467004e-012
6.500000000000004e-001,1.487050e-012
6.600000000000004e-001,1.507095e-012
6.700000000000004e-001,1.527140e-012
6.800000000000004e-001,1.547186e-012
6.900000000000004e-001,1.567231e-012
7.000000000000004e-001,1.587276e-012
7.100000000000004e-001,1.607321e-012
7.200000000000004e-001,1.627366e-012
7.300000000000004e-001,1.647411e-012
7.400000000000004e-001,1.667456e-012
7.500000000000004e-001,1.687500e-012
7.600000000000005e-001,1.707545e-012
7.700000000000005e-001,1.727590e-012
7.800000000000005e-001,1.747634e-012
7.900000000000005e-001,1.767679e-012
8.000000000000005e-001,1.787723e-012
8.100000000000005e-001,1.807768e-012
8.200000000000005e-001,1.827812e-012
8.300000000000005e-001,1.847856e-012
8.400000000000005e-001,1.867900e-012
8.500000000000005e-001,1.887944e-012
8.600000000000005e-001,1.907988e-012
8.700000000000006e-001,1.928032e-012
8.800000000000006e-001,1.948076e-012
8.900000000000006e-001,1.968120e-012
9.000000000000006e-001,1.988164e-012
9.100000000000006e-001,2.008208e-012
9.200000000000006e-001,2.028251e-012
9.300000000000006e-001,2.048295e-012
9.400000000000006e-001,2.068339e-012
9.500000000000006e-001,2.088382e-012
9.600000000000006e-001,2.108425e-012
9.700000000000006e-001,2.128469e-012
9.800000000000007e-001,2.148512e-012
9.900000000000007e-001,2.168555e-012
1.000000000000001e+000,2.188598e-012
1.010000000000001e+000,2.208642e-012
1.020000000000001e+000,2.228685e-012
1.030000000000001e+000,2.248728e-012
1.040000000000001e+000,2.268771e-012
1.050000000000001e+000,2.288814e-012
1.060000000000001e+000,2.308856e-012
1.070000000000001e+000,2.328899e-012
1.080000000000001e+000,2.348942e-012
1.090000000000001e+000,2.368985e-012
1.100000000000001e+000,2.389027e-012
1.110000000000001e+000,2.409070e-012
1.120000000000001e+000,2.429112e-012
1.130000000000001e+000,2.449155e-012
1.140000000000001e+000,2.469197e-012
1.150000000000001e+000,2.489240e-012
1.160000000000001e+000,2.509282e-012
1.170000000000001e+000,2.529324e-012
1.180000000000001e+000,2.549367e-012
1.190000000000001e+000,2.569409e-012
1.200000000000001e+000,2.589451e-012
1.210000000000001e+000,2.609493e-012
1.220000000000001e+000,2.629535e-012
1.230000000000001e+000,2.649577e-012
1.240000000000001e+000,2.669619e-012
1.250000000000001e+000,2.689661e-012
1.260000000000001e+000,2.709702e-012
1.270000000000001e+000,2.729744e-012
1.280000000000001e+000,2.749786e-012
1.290000000000001e+000,2.769827e-012
1.300000000000001e+000,2.789869e-012
1.310000000000001e+000,2.809911e-012
1.320000000000001e+000,2.829952e-012
1.330000000000001e+000,2.849993e-012
1.340000000000001e+000,2.870035e-012
1.350000000000001e+000,2.890076e-012
1.360000000000001e+000,2.910117e-012
1.370000000000001e+000,2.930159e-012
1.380000000000001e+000,2.950200e-012
1.390000000000001e+000,2.970241e-012
1.400000000000001e+000,2.990282e-012
1.410000000000001e+000,3.010323e-012
1.420000000000001e+000,3.030364e-012
1.430000000000001e+000,3.050405e-012
1.440000000000001e+000,3.070446e-012
1.450000000000001e+000,3.090487e-012
1.460000000000001e+000,3.110528e-012
