vdd,V(vout),Id(M1)
1.030000000000001e+000,1.317563e-001,8.982437e-005
1.040000000000001e+000,1.332026e-001,9.067974e-005
1.050000000000001e+000,1.346529e-001,9.153471e-005
1.060000000000001e+000,1.361073e-001,9.238928e-005
1.070000000000001e+000,1.375656e-001,9.324344e-005
1.080000000000001e+000,1.390281e-001,9.409719e-005
1.090000000000001e+000,1.404946e-001,9.495054e-005
1.100000000000001e+000,1.419652e-001,9.580348e-005
1.110000000000001e+000,1.434400e-001,9.665600e-005
1.120000000000001e+000,1.449190e-001,9.750811e-005
1.130000000000001e+000,1.464022e-001,9.835979e-005
1.140000000000001e+000,1.478896e-001,9.921104e-005
1.150000000000001e+000,1.493813e-001,1.000619e-004
1.160000000000001e+000,1.508773e-001,1.009123e-004
1.170000000000001e+000,1.523777e-001,1.017622e-004
1.180000000000001e+000,1.538823e-001,1.026118e-004
1.190000000000001e+000,1.553914e-001,1.034609e-004
1.200000000000001e+000,1.569049e-001,1.043095e-004
1.210000000000001e+000,1.584229e-001,1.051577e-004
1.220000000000001e+000,1.599454e-001,1.060055e-004
1.230000000000001e+000,1.614724e-001,1.068528e-004
1.240000000000001e+000,1.630039e-001,1.076996e-004
1.250000000000001e+000,1.645401e-001,1.085460e-004
1.260000000000001e+000,1.660808e-001,1.093919e-004
1.270000000000001e+000,1.676262e-001,1.102374e-004
1.280000000000001e+000,1.691764e-001,1.110824e-004
1.290000000000001e+000,1.707312e-001,1.119269e-004
1.300000000000001e+000,1.722909e-001,1.127709e-004
1.310000000000001e+000,1.738553e-001,1.136145e-004
1.320000000000001e+000,1.754246e-001,1.144575e-004
1.330000000000001e+000,1.769987e-001,1.153001e-004
1.340000000000001e+000,1.785778e-001,1.161422e-004
1.350000000000001e+000,1.801618e-001,1.169838e-004
1.360000000000001e+000,1.817508e-001,1.178249e-004
1.370000000000001e+000,1.833449e-001,1.186655e-004
1.380000000000001e+000,1.849440e-001,1.195056e-004
1.390000000000001e+000,1.865482e-001,1.203452e-004
1.400000000000001e+000,1.881576e-001,1.211842e-004
1.410000000000001e+000,1.897722e-001,1.220228e-004
1.420000000000001e+000,1.913920e-001,1.228608e-004
1.430000000000001e+000,1.930171e-001,1.236983e-004
1.440000000000001e+000,1.946476e-001,1.245352e-004
1.450000000000001e+000,1.962833e-001,1.253717e-004
1.460000000000001e+000,1.979245e-001,1.262076e-004
1.470000000000001e+000,1.995712e-001,1.270429e-004
1.480000000000001e+000,2.012233e-001,1.278777e-004
1.490000000000001e+000,2.028810e-001,1.287119e-004
1.500000000000001e+000,2.045443e-001,1.295456e-004
1.510000000000001e+000,2.062132e-001,1.303787e-004
1.520000000000001e+000,2.078878e-001,1.312112e-004
1.530000000000001e+000,2.095681e-001,1.320432e-004
1.540000000000001e+000,2.112542e-001,1.328746e-004
1.550000000000001e+000,2.129461e-001,1.337054e-004
1.560000000000001e+000,2.146439e-001,1.345356e-004
1.570000000000001e+000,2.163477e-001,1.353652e-004
1.580000000000001e+000,2.180574e-001,1.361943e-004
1.590000000000001e+000,2.197732e-001,1.370227e-004
1.600000000000001e+000,2.214950e-001,1.378505e-004
1.610000000000001e+000,2.232230e-001,1.386777e-004
1.620000000000001e+000,2.249572e-001,1.395043e-004
1.630000000000001e+000,2.266976e-001,1.403302e-004
1.640000000000001e+000,2.284444e-001,1.411556e-004
1.650000000000001e+000,2.301975e-001,1.419803e-004
1.660000000000001e+000,2.319570e-001,1.428043e-004
1.670000000000001e+000,2.337230e-001,1.436277e-004
1.680000000000001e+000,2.354955e-001,1.444504e-004
1.690000000000001e+000,2.372746e-001,1.452725e-004
1.700000000000001e+000,2.390604e-001,1.460940e-004
1.710000000000001e+000,2.408530e-001,1.469147e-004
1.720000000000001e+000,2.426523e-001,1.477348e-004
1.730000000000001e+000,2.444584e-001,1.485542e-004
1.740000000000001e+000,2.462715e-001,1.493728e-004
1.750000000000001e+000,2.480915e-001,1.501909e-004
1.760000000000001e+000,2.499186e-001,1.510081e-004
1.770000000000001e+000,2.517528e-001,1.518247e-004
1.780000000000001e+000,2.535942e-001,1.526406e-004
1.790000000000001e+000,2.554429e-001,1.534557e-004
1.800000000000001e+000,2.572988e-001,1.542701e-004
1.810000000000001e+000,2.591622e-001,1.550838e-004
1.820000000000001e+000,2.610330e-001,1.558967e-004
1.830000000000001e+000,2.629114e-001,1.567089e-004
1.840000000000001e+000,2.647974e-001,1.575203e-004
1.850000000000001e+000,2.666911e-001,1.583309e-004
1.860000000000001e+000,2.685926e-001,1.591407e-004
1.870000000000001e+000,2.705019e-001,1.599498e-004
1.880000000000001e+000,2.724192e-001,1.607581e-004
1.890000000000002e+000,2.743445e-001,1.615655e-004
1.900000000000002e+000,2.762779e-001,1.623722e-004
1.910000000000002e+000,2.782195e-001,1.631780e-004
1.920000000000002e+000,2.801694e-001,1.639831e-004
1.930000000000002e+000,2.821276e-001,1.647872e-004
1.940000000000002e+000,2.840943e-001,1.655906e-004
1.950000000000002e+000,2.860695e-001,1.663930e-004
1.960000000000002e+000,2.880534e-001,1.671947e-004
1.970000000000002e+000,2.900460e-001,1.679954e-004
1.980000000000002e+000,2.920475e-001,1.687953e-004
1.990000000000002e+000,2.940578e-001,1.695942e-004
2.000000000000001e+000,2.960773e-001,1.703923e-004
2.010000000000001e+000,2.981058e-001,1.711894e-004
2.020000000000001e+000,3.001435e-001,1.719857e-004
2.030000000000001e+000,3.021907e-001,1.727809e-004
2.040000000000001e+000,3.042472e-001,1.735753e-004
2.050000000000000e+000,3.063134e-001,1.743687e-004
2.060000000000000e+000,3.083892e-001,1.751611e-004
2.070000000000000e+000,3.104747e-001,1.759525e-004
2.080000000000000e+000,3.125702e-001,1.767430e-004
2.089999999999999e+000,3.146757e-001,1.775324e-004
2.099999999999999e+000,3.167914e-001,1.783209e-004
2.109999999999999e+000,3.189172e-001,1.791083e-004
2.119999999999999e+000,3.210536e-001,1.798946e-004
2.129999999999999e+000,3.232004e-001,1.806800e-004
2.139999999999998e+000,3.253579e-001,1.814642e-004
2.149999999999998e+000,3.275261e-001,1.822474e-004
2.159999999999998e+000,3.297053e-001,1.830295e-004
2.169999999999998e+000,3.318955e-001,1.838105e-004
2.179999999999998e+000,3.340969e-001,1.845903e-004
2.189999999999997e+000,3.363097e-001,1.853690e-004
2.199999999999997e+000,3.385340e-001,1.861466e-004
2.209999999999997e+000,3.407699e-001,1.869230e-004
2.219999999999997e+000,3.430176e-001,1.876982e-004
2.229999999999996e+000,3.452773e-001,1.884723e-004
2.239999999999996e+000,3.475491e-001,1.892451e-004
2.249999999999996e+000,3.498333e-001,1.900167e-004
2.259999999999996e+000,3.521298e-001,1.907870e-004
2.269999999999996e+000,3.544390e-001,1.915561e-004
2.279999999999995e+000,3.567610e-001,1.923239e-004
2.289999999999995e+000,3.590960e-001,1.930904e-004
2.299999999999995e+000,3.614442e-001,1.938556e-004
2.309999999999995e+000,3.638057e-001,1.946194e-004
2.319999999999995e+000,3.661808e-001,1.953819e-004
2.329999999999994e+000,3.685697e-001,1.961430e-004
2.339999999999994e+000,3.709725e-001,1.969028e-004
2.349999999999994e+000,3.733895e-001,1.976611e-004
2.359999999999994e+000,3.758209e-001,1.984179e-004
2.369999999999993e+000,3.782669e-001,1.991733e-004
2.379999999999993e+000,3.807277e-001,1.999272e-004
2.389999999999993e+000,3.832036e-001,2.006796e-004
2.399999999999993e+000,3.856948e-001,2.014305e-004
2.409999999999993e+000,3.882016e-001,2.021798e-004
2.419999999999992e+000,3.907241e-001,2.029276e-004
2.429999999999992e+000,3.932627e-001,2.036737e-004
2.439999999999992e+000,3.958176e-001,2.044182e-004
2.449999999999992e+000,3.983892e-001,2.051611e-004
2.459999999999992e+000,4.009776e-001,2.059023e-004
2.469999999999991e+000,4.035831e-001,2.066417e-004
2.479999999999991e+000,4.062061e-001,2.073794e-004
2.489999999999991e+000,4.088468e-001,2.081153e-004
2.499999999999991e+000,4.115056e-001,2.088494e-004
2.509999999999991e+000,4.141828e-001,2.095817e-004
2.519999999999990e+000,4.168787e-001,2.103121e-004
2.529999999999990e+000,4.195937e-001,2.110406e-004
2.539999999999990e+000,4.223281e-001,2.117672e-004
2.549999999999990e+000,4.250822e-001,2.124918e-004
2.559999999999989e+000,4.278565e-001,2.132144e-004
2.569999999999989e+000,4.306513e-001,2.139349e-004
2.579999999999989e+000,4.334670e-001,2.146533e-004
2.589999999999989e+000,4.363041e-001,2.153696e-004
2.599999999999989e+000,4.391629e-001,2.160837e-004
2.609999999999988e+000,4.420440e-001,2.167956e-004
2.619999999999988e+000,4.449476e-001,2.175052e-004
2.629999999999988e+000,4.478744e-001,2.182126e-004
2.639999999999988e+000,4.508248e-001,2.189175e-004
2.649999999999988e+000,4.537993e-001,2.196201e-004
2.659999999999987e+000,4.567984e-001,2.203202e-004
2.669999999999987e+000,4.598227e-001,2.210177e-004
2.679999999999987e+000,4.628727e-001,2.217127e-004
2.689999999999987e+000,4.659489e-001,2.224051e-004
2.699999999999986e+000,4.690521e-001,2.230948e-004
2.709999999999986e+000,4.721828e-001,2.237817e-004
2.719999999999986e+000,4.753417e-001,2.244658e-004
2.729999999999986e+000,4.785294e-001,2.251471e-004
2.739999999999986e+000,4.817466e-001,2.258253e-004
2.749999999999985e+000,4.849941e-001,2.265006e-004
2.759999999999985e+000,4.882726e-001,2.271727e-004
2.769999999999985e+000,4.915830e-001,2.278417e-004
2.779999999999985e+000,4.949260e-001,2.285074e-004
2.789999999999985e+000,4.983025e-001,2.291697e-004
2.799999999999984e+000,5.017133e-001,2.298287e-004
2.809999999999984e+000,5.051596e-001,2.304840e-004
2.819999999999984e+000,5.086422e-001,2.311358e-004
2.829999999999984e+000,5.121621e-001,2.317838e-004
2.839999999999983e+000,5.157205e-001,2.324279e-004
2.849999999999983e+000,5.193185e-001,2.330681e-004
2.859999999999983e+000,5.229571e-001,2.337043e-004
2.869999999999983e+000,5.266379e-001,2.343362e-004
2.879999999999983e+000,5.303620e-001,2.349638e-004
2.889999999999982e+000,5.341308e-001,2.355869e-004
2.899999999999982e+000,5.379457e-001,2.362054e-004
2.909999999999982e+000,5.418083e-001,2.368192e-004
2.919999999999982e+000,5.457203e-001,2.374280e-004
2.929999999999982e+000,5.496834e-001,2.380317e-004
2.939999999999981e+000,5.536993e-001,2.386301e-004
2.949999999999981e+000,5.577701e-001,2.392230e-004
2.959999999999981e+000,5.618978e-001,2.398102e-004
2.969999999999981e+000,5.660845e-001,2.403915e-004
2.979999999999980e+000,5.703326e-001,2.409667e-004
2.989999999999980e+000,5.746446e-001,2.415355e-004
2.999999999999980e+000,5.790232e-001,2.420977e-004
3.009999999999980e+000,5.834711e-001,2.426529e-004
3.019999999999980e+000,5.879915e-001,2.432008e-004
3.029999999999979e+000,5.925877e-001,2.437412e-004
3.039999999999979e+000,5.972632e-001,2.442737e-004
3.049999999999979e+000,6.020217e-001,2.447978e-004
3.059999999999979e+000,6.068675e-001,2.453132e-004
3.069999999999979e+000,6.118051e-001,2.458195e-004
3.079999999999978e+000,6.168394e-001,2.463160e-004
3.089999999999978e+000,6.219757e-001,2.468024e-004
3.099999999999978e+000,6.272199e-001,2.472780e-004
3.109999999999978e+000,6.325784e-001,2.477421e-004
3.119999999999978e+000,6.380584e-001,2.481941e-004
3.129999999999977e+000,6.436678e-001,2.486332e-004
3.139999999999977e+000,6.494153e-001,2.490584e-004
3.149999999999977e+000,6.553108e-001,2.494689e-004
3.159999999999977e+000,6.613652e-001,2.498634e-004
3.169999999999976e+000,6.675912e-001,2.502408e-004
3.179999999999976e+000,6.740028e-001,2.505997e-004
3.189999999999976e+000,6.806163e-001,2.509383e-004
3.199999999999976e+000,6.874506e-001,2.512549e-004
3.209999999999976e+000,6.945276e-001,2.515471e-004
3.219999999999975e+000,7.018730e-001,2.518126e-004
3.229999999999975e+000,7.094344e-001,2.520506e-004
3.239999999999975e+000,7.171755e-001,2.522774e-004
3.249999999999975e+000,7.250222e-001,2.524949e-004
3.259999999999975e+000,7.329435e-001,2.527036e-004
3.269999999999974e+000,7.409331e-001,2.529048e-004
3.279999999999974e+000,7.489874e-001,2.530995e-004
3.289999999999974e+000,7.571008e-001,2.532883e-004
3.299999999999974e+000,7.652672e-001,2.534718e-004
3.309999999999973e+000,7.734817e-001,2.536505e-004
