vds	Id(M1)
Step Information: Vgs=0  (Run: 1/11)
0.000000000000000e+000	0.000000e+000
1.000000000000000e-002	5.546130e-014
2.000000000000000e-002	1.019798e-013
3.000000000000000e-002	1.400015e-013
4.000000000000000e-002	1.698645e-013
5.000000000000000e-002	1.922420e-013
6.000000000000001e-002	2.127154e-013
7.000000000000001e-002	2.330400e-013
8.000000000000000e-002	2.532636e-013
9.000000000000000e-002	2.734184e-013
9.999999999999999e-002	2.935267e-013
1.100000000000000e-001	3.136032e-013
1.200000000000000e-001	3.336582e-013
1.300000000000000e-001	3.536986e-013
1.400000000000000e-001	3.737290e-013
1.500000000000000e-001	3.937527e-013
1.600000000000000e-001	4.137717e-013
1.700000000000000e-001	4.337877e-013
1.800000000000000e-001	4.538015e-013
1.900000000000000e-001	4.738139e-013
2.000000000000000e-001	4.938252e-013
2.100000000000001e-001	5.138360e-013
2.200000000000001e-001	5.338462e-013
2.300000000000001e-001	5.538562e-013
2.400000000000001e-001	5.738659e-013
2.500000000000001e-001	5.938755e-013
2.600000000000001e-001	6.138850e-013
2.700000000000001e-001	6.338944e-013
2.800000000000001e-001	6.539038e-013
2.900000000000001e-001	6.739131e-013
3.000000000000001e-001	6.939224e-013
3.100000000000001e-001	7.139317e-013
3.200000000000001e-001	7.339409e-013
3.300000000000001e-001	7.539502e-013
3.400000000000001e-001	7.739594e-013
3.500000000000001e-001	7.939686e-013
3.600000000000002e-001	8.139778e-013
3.700000000000002e-001	8.339870e-013
3.800000000000002e-001	8.539962e-013
3.900000000000002e-001	8.740053e-013
4.000000000000002e-001	8.940146e-013
4.100000000000002e-001	9.140237e-013
4.200000000000002e-001	9.340329e-013
4.300000000000002e-001	9.540420e-013
4.400000000000002e-001	9.740511e-013
4.500000000000002e-001	9.940603e-013
4.600000000000002e-001	1.014069e-012
4.700000000000003e-001	1.034079e-012
4.800000000000003e-001	1.054088e-012
4.900000000000003e-001	1.074097e-012
5.000000000000002e-001	1.094106e-012
5.100000000000002e-001	1.114115e-012
5.200000000000002e-001	1.134124e-012
5.300000000000003e-001	1.154133e-012
5.400000000000003e-001	1.174142e-012
5.500000000000003e-001	1.194151e-012
5.600000000000003e-001	1.214160e-012
5.700000000000003e-001	1.234169e-012
5.800000000000003e-001	1.254178e-012
5.900000000000003e-001	1.274187e-012
6.000000000000003e-001	1.294197e-012
6.100000000000003e-001	1.314205e-012
6.200000000000003e-001	1.334215e-012
6.300000000000003e-001	1.354223e-012
6.400000000000004e-001	1.374233e-012
6.500000000000004e-001	1.394241e-012
6.600000000000004e-001	1.414251e-012
6.700000000000004e-001	1.434260e-012
6.800000000000004e-001	1.454268e-012
6.900000000000004e-001	1.474277e-012
7.000000000000004e-001	1.494286e-012
7.100000000000004e-001	1.514295e-012
7.200000000000004e-001	1.534304e-012
7.300000000000004e-001	1.554313e-012
7.400000000000004e-001	1.574322e-012
7.500000000000004e-001	1.594331e-012
7.600000000000005e-001	1.614340e-012
7.700000000000005e-001	1.634349e-012
7.800000000000005e-001	1.654358e-012
7.900000000000005e-001	1.674367e-012
8.000000000000005e-001	1.694376e-012
8.100000000000005e-001	1.714384e-012
8.200000000000005e-001	1.734393e-012
8.300000000000005e-001	1.754402e-012
8.400000000000005e-001	1.774411e-012
8.500000000000005e-001	1.794420e-012
8.600000000000005e-001	1.814429e-012
8.700000000000006e-001	1.834438e-012
8.800000000000006e-001	1.854447e-012
8.900000000000006e-001	1.874455e-012
9.000000000000006e-001	1.894464e-012
9.100000000000006e-001	1.914473e-012
9.200000000000006e-001	1.934482e-012
9.300000000000006e-001	1.954491e-012
9.400000000000006e-001	1.974499e-012
9.500000000000006e-001	1.994508e-012
9.600000000000006e-001	2.014517e-012
9.700000000000006e-001	2.034526e-012
9.800000000000007e-001	2.054534e-012
9.900000000000007e-001	2.074543e-012
1.000000000000001e+000	2.094552e-012
1.010000000000001e+000	2.114561e-012
1.020000000000001e+000	2.134570e-012
1.030000000000001e+000	2.154578e-012
1.040000000000001e+000	2.174587e-012
1.050000000000001e+000	2.194596e-012
1.060000000000001e+000	2.214605e-012
1.070000000000001e+000	2.234613e-012
1.080000000000001e+000	2.254622e-012
1.090000000000001e+000	2.274631e-012
1.100000000000001e+000	2.294640e-012
1.110000000000001e+000	2.314648e-012
1.120000000000001e+000	2.334657e-012
1.130000000000001e+000	2.354666e-012
1.140000000000001e+000	2.374674e-012
1.150000000000001e+000	2.394683e-012
